Genre,Original Language,Title,Author,Pub Year,Country,Gender,Ethnicity,LGBTIQ+
Fiction (Novel),English,Imaginary Friend,Stephen Chbosky,2019,USA,Man,White American,
Fiction (Novel),English,Howl's Moving Castle,Diana Wynne Jones,1986,UK,Woman,White British,
Non-fiction,English,Whose Story Is This?,Rebecca Solnit,2019,USA,Woman,White American,
Fiction (Novel),English,"Girl, Woman, Other",Bernardine Evaristo,2019,UK,Woman,Black British,
Memoir/Autobiography,English,The World That Was Ours,Hilda Bernstein,1967,South Africa,Woman,White South African,
Fiction (Novel),English,Parable of the Sower,Octavia E. Butler,1993,USA,Woman,African American,
Non-fiction,English,Testosterone Rex,Cordelia Fine,2018,UK,Woman,White British,
Fiction (Novel),English,Do Not Say We Have Nothing,Madeleine Thien,2016,Canada,Woman,Chinese Canadian,
Fiction (Novel),Spanish,A Long Petal of the Sea,Isabel Allende,2019,Chile,Woman,Latina,
Fiction (Novel),English,Things Fall Apart,Chinua Achebe,1958,Nigeria,Man,Igbo,
Memoir/Autobiography,English,I Choose Elena,Lucia Osborne-Crowley,2019,Australia,Woman,White Australian,
Fiction (Novel),Swedish,What We Owe,Golnaz Hashemzadeh Bonde,2017,Iran,Woman,Iranian Swede,
Fiction (Novel),English,All Systems Red,Martha Wells,2017,USA,Woman,White American,
Fiction (Novel),English,Artifical Condition,Martha Wells,2018,USA,Woman,White American,
Fiction (Novel),English,Washington Black,Esi Edugyan,2018,Canada,Woman,Ghanaian Canadian,
Fiction (Novel),English,There There,Tommy Orange,2018,USA,Man,Native American,
Fiction (Novel),English,Skulduggery Peasant: Seasons of War,Derek Landy,2020,Ireland,Man,Irish,
Fiction (Novel),French,Journey to the Centre of the Earth,Jules Verne,1864,France,Man,White (French),
Fiction (Novel),English,Blonde Roots,Bernardine Evaristo,2008,UK,Woman,Black British,
Fiction (Novel),English,The Shadow King,Maaza Mengiste,2019,Ethiopia,Woman,Ethiopian,
Fiction (Anthology),English,After Australia,Multiple (Anthology),2020,Australia,N/A,N/A,
Memoir/Autobiography,Polish,Hope is the Last To Die,Halina Birembaum,1967,Poland,Woman,Polish Jew,
Fiction (Novel),English,The Vanishing Half,Brit Bennett,2020,USA,Woman,Black American,
Fiction (Novel),English,Rogue Protocol,Martha Wells,2018,USA,Woman,White American,
Fiction (Novel),English,Exit Strategy,Martha Wells,2018,USA,Woman,White American,
Fiction (Novel),English,The Ballad of Songbirds and Snakes,Suzanne Collins,2020,USA,Woman,White American,
Memoir/Autobiography,Swedish,Our House is on Fire: Scenes of a Family and Planet in Crisis,"Malena and Beata Ernman, Svante and Greta Thunberg",2018,Sweden,N/A,Swedish,
Fiction (Novel),English,Burn,Patrick Ness,2020,USA,Man,White American,Gay man
Fiction (Novel),English,A Beautifully Foolish Endeavour,Hank Green,2020,USA,Man,White American,
Fiction (Novel),English,And the Ocean Was Our Sky,Patrick Ness,2018,USA,Man,White American,Gay man
Fiction (Novel),English,In the Distance,Hernan Diaz,2017,Argentina,Man,Argentinian Swede,
Fiction (Novel),English,Pachinko,Min Jin Lee,2017,South Korea,Woman,Korean American,
Poetry,English,Throat,Ellen Van Neerven,2020,Australia,? (they/them),Mununjalia Yugambeh,Uses they/them pronouns
Fiction (Novel),English,Life of Pi,Yann Martel,2002,Canada,Man,White French Canadian,
Fiction (Novel),English,The Old Drift,Namwali Serpell,2019,Zambia,Woman,Zambian,
Poetry,English,Space Struck,Paige Lewis,2019,USA,? (they/them),White American,Uses they/them pronouns
Fiction (Novel),English,Pet,Akwaeke Emezi,2019,Nigeria,nonbinary,Igbo,"Nonbinary trans person, uses she/they pronouns"
Fiction (Novel),English,Prize Fighter,Future D. Fidel,2018,DR Congo,Man,Congolese,
Non-fiction,,Growing Up Aboriginal in Australia,Multiple (Anthology),2018,Australia,N/A,Aboriginal Australian,
Fiction (Novel),English,The Leavers,Lisa Ko,2017,USA,Woman,Chinese American,
Fiction (Novel),English,Transcendent Kingdom,Yaa Gyasi,2020,Ghana,Woman,Ghanaian American,
Fiction (Novel),Spanish,Faces in the Crowd,Valeria Luiselli,2011,Mexico,Woman,Mexican,
Non-fiction,English,How To,Randall Munroe,2019,USA,Man,White American,
Fiction (Novel),English,Purple Hibiscus,Chimamanda Ngozi Adichie,2003,Nigeria,Woman,Igbo,
,,A Room of One's Own,Virginia Woolf,1928,UK,Woman,White British,
,,The Death of Vivek Oji,Akwaeke Emezi,2020,Nigeria,nonbinary,Igbo,"Nonbinary trans person, uses she/they pronouns"
