Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
128116,Dharma Punx: A Memoir,Noah Levine,"Levine, Noah",,"=""0060008954""","=""9780060008956""",0,3.78,HarperOne,Paperback,272,2004,2003,,2013/07/08,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
26064,Kissing in Manhattan,David Schickler,"Schickler, David",,"=""0385335679""","=""9780385335676""",0,3.60,Dial Press Trade Paperback,Paperback,288,2002,2001,,2013/07/08,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",0,4.13,Broadway Books,Paperback,246,1998,1990,,2013/07/08,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
18490,Frankenstein,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft","Percy Bysshe Shelley, Maurice Hindle","=""0141439475""","=""9780141439471""",3,3.81,Penguin,Paperback,273,2003,1818,2013/07/02,2013/06/21,academic,academic (#4),read,,,,1,,,0,,,,,
105739,Goliath,Steve Alten,"Alten, Steve",,"=""0765340240""","=""9780765340245""",0,3.81,Forge Books,Paperback,512,2003,2002,,2013/07/01,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
17912077,Casting Shadows Everywhere,L.T. Vargus,"Vargus, L.T.",,"=""""","=""""",0,3.58,Smarmy Press,Kindle Edition,241,2013,2013,,2013/06/27,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
15833761,The Ultimate Inferior Beings,Mark  Roman,"Roman, Mark",,"=""1477492208""","=""9781477492208""",0,3.37,Cogwheel Press,Paperback,300,2012,2012,,2013/06/27,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
15749186,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,"Han, Jenny",,"=""""","=""""",0,4.15,Simon & Schuster Books for Young Readers,Hardcover,355,2014,2014,,2013/06/25,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
15798166,"Attack on Titan, Vol. 4 (Attack on Titan, #4)",Hajime Isayama,"Isayama, Hajime",,"=""1612622534""","=""9781612622538""",5,4.42,Kodansha Comics,Paperback,192,2013,2011,2013/06/24,2013/06/10,comic-manga,comic-manga (#10),read,,,,1,,,0,,,,,
16071864,"Attack on Titan, Vol. 5 (Attack on Titan, #5)",Hajime Isayama,"Isayama, Hajime",,"=""1612622542""","=""9781612622545""",5,4.45,Kodansha Comics,Paperback,192,2013,2011,,2013/06/10,comic-manga,comic-manga (#11),read,,,,1,,,0,,,,,
